SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
CC(C)(C)/N=C(/O)Cn1ccnc1C=O,10.550310492252455,-0.3273739843159489,10.550310492252455,0.0105555555555552,0.4651482979835832,209.249,194.129,209.11642672,82.0,0.0,0.2014185640479965,-0.4952994698122309,0.4952994698122309,0.2014185640479965,1.6666666666666667,2.333333333333333,2.8666666666666667,16.267421849818298,10.127540122180424,2.1018625920864475,-2.126444322951264,2.0658734773510807,-2.181135189885863,5.757103307884366,0.1107125613845683,2.785635777753987,374.2643742388154,11.474691494688166,9.136260261219125,9.136260261219125,6.920833517085959,4.661923653177991,4.661923653177991,4.230044816685711,4.230044816685711,1.6293279280068622,1.6293279280068622,1.1474141189155056,1.1474141189155056,-1.6499999999999997,1908.256724722541,11.4249063670412,4.2490979441673495,3.5333423472147096,88.47585614692925,9.67362704263206,0.0,12.110565021129482,5.897745344357611,0.0,0.0,4.794537184071822,9.976383253582878,0.0,0.0,0.0,20.771211599071872,12.393687143226153,12.08368165829592,9.901064578912528,12.183905867487166,0.0,9.551078168738565,4.992404732635669,32.85489325736779,0.0,18.21809164122608,0.0,0.0,0.0,0.0,0.0,0.0,32.38043668344978,6.544756405912575,0.0,31.39015328114362,17.386091875861823,0.0,0.0,0.0,67.48,0.0,9.901064578912528,0.0,23.80583150065346,6.286160523129555,0.0,10.763943219404432,6.196843571613076,20.771211599071872,9.976383253582878,0.0,1.539259259259259,0.0,18.430572680461072,9.562022392290247,-0.3273739843159489,0.2724622071050648,0.0,3.774408541194256,5.83198223733938,0.0,0.5,15.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,5.0,3.0,0.0,0.0,0.0,1.0,1.4506,57.43130000000002,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC/N=C(/O)Cn1ccnc1C=O,10.422947452129,0.0033333333333336,10.422947452129,0.0033333333333336,0.4214728044633,181.195,170.10699999999997,181.085126592,70.0,0.0,0.2008796573200783,-0.4953133513453385,0.4953133513453385,0.2008796573200783,1.8461538461538465,2.6153846153846154,3.230769230769231,16.267096031439262,10.530886060662285,2.021685968821445,-2.007971175531423,1.9385540974840985,-2.1121267161453003,5.753075454037533,0.1107125800333035,2.73197011400872,316.9439701599724,9.681798275874712,7.343367042405669,7.343367042405669,6.274386907679233,3.961651402631397,3.961651402631397,2.4217626735860405,2.4217626735860405,1.5054887498797476,1.5054887498797476,0.957402032337194,0.957402032337194,-1.6499999999999997,1121.0981345206033,9.438105726872248,4.39399713484442,2.39725560381699,75.74597191813604,9.67362704263206,0.0,12.110565021129482,5.897745344357611,0.0,0.0,9.786941916707493,4.9839785209472085,0.0,0.0,0.0,6.923737199690624,18.93844354913873,6.544756405912575,9.901064578912528,12.183905867487166,0.0,9.551078168738565,4.992404732635669,13.4684936056032,6.544756405912575,18.21809164122608,0.0,0.0,0.0,0.0,0.0,0.0,33.38626783697901,6.544756405912575,0.0,17.542678881762374,17.386091875861823,0.0,0.0,0.0,67.48,0.0,9.901064578912528,0.0,18.26690624827011,12.83091692904213,0.0,10.763943219404432,6.196843571613076,6.923737199690624,9.976383253582878,0.0,1.529259259259259,0.0,17.982135377299066,9.22639739229025,0.0,0.29301209372638,0.0,3.7572600151171582,2.545269195641219,0.0,0.375,13.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,0.6719999999999999,48.21930000000002,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=Cc1nccn1CC(=O)N1CCCC1,11.74222222222222,0.0635185185185189,11.74222222222222,0.0635185185185189,0.6705162953474517,207.23299999999995,194.129,207.100776656,80.0,0.0,0.2420653871816081,-0.3411499034617002,0.3411499034617002,0.2420653871816081,1.4666666666666666,2.2,2.8666666666666667,16.154216427560907,10.393584045238851,2.1807297020142937,-2.1503217174842426,2.081663524977232,-2.3085333616197943,5.774228061964644,-0.1302644296669934,2.013070102841063,366.4993350843596,10.673362107437434,8.425722080929216,8.425722080929216,7.308861750289881,5.051289734943641,5.051289734943641,3.61908674222062,3.61908674222062,2.6174684066030345,2.6174684066030345,1.7847823013905402,1.7847823013905402,-1.65,4945.798397879751,9.888066505602836,4.2490979441673495,2.058693673190714,87.70182452559104,9.467009378641832,6.544756405912575,12.110565021129482,5.907179729351506,0.0,0.0,9.589074368143644,4.9839785209472085,0.0,0.0,0.0,12.84164324585202,25.483199955051305,0.0,9.589074368143644,12.19334025248106,0.0,14.45098789958904,0.0,19.386399651764595,13.08951281182515,18.21809164122608,0.0,0.0,0.0,0.0,0.0,0.0,39.73384096389525,11.339293589984395,0.0,23.46058492792377,12.393687143226153,0.0,0.0,0.0,55.2,0.0,9.589074368143644,0.0,12.45193613526408,12.110565021129482,25.93115605767717,6.196843571613076,10.763943219404432,4.899909730850478,4.9839785209472085,0.0,1.577037037037037,0.0,27.99165658856135,0.0,0.0,0.3714323507180654,0.0,6.002354654824893,1.890852702191988,0.0,0.5,15.0,0.0,5.0,0.0,1.0,1.0,0.0,1.0,1.0,4.0,0.0,5.0,3.0,0.0,1.0,1.0,2.0,0.3179999999999998,53.42850000000002,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCc1ccc(Cn2ccnc2CO)cc1,9.084172951600802,-0.0138456632653058,9.084172951600802,0.0138456632653058,0.8483276443436712,216.284,200.15599999999995,216.126263132,84.0,0.0,0.1342762749786877,-0.38843323869032,0.38843323869032,0.1342762749786877,1.1875,1.875,2.5,16.251974893053877,10.105627901396948,2.011570178656912,-2.063729874721835,2.0810867180161168,-2.036452704557997,5.224988742173391,0.2658949348266052,2.1393674399099663,445.2110831360652,11.380468888623982,9.427062745197274,9.427062745197274,7.83002980034506,5.518534398373577,5.518534398373577,3.799534859145284,3.799534859145284,2.7272646710476387,2.7272646710476387,1.7127238526176085,1.7127238526176085,-1.61,7573.34553597067,10.892929887469862,4.944116984616554,2.3080221589441385,95.38127942389956,9.67362704263206,12.431286462512844,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,31.18920547353706,17.54772460632,18.93844354913873,0.0,5.106527394840706,0.0,0.0,9.551078168738565,0.0,26.49619719304213,0.0,53.61046289846652,0.0,0.0,0.0,0.0,0.0,0.0,14.657605563579269,19.572459993351504,0.0,23.87504468108454,36.6591554170726,0.0,0.0,0.0,38.05,0.0,0.0,0.0,6.606881964512918,5.824404497999927,12.965578028838586,11.126902983393991,6.196843571613076,10.763943219404432,36.17318399448427,5.106527394840706,1.9592781557067271,0.0,4.077529289493575,9.084172951600802,2.570984058746956,0.7079333847736627,8.537437641723356,4.665175028344672,2.897489489610251,0.0,0.3076923076923077,16.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,1.9861,63.07180000000004,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCc1nccn1CC1CCCC1,8.997909580498867,0.0552777777777775,8.997909580498867,0.0552777777777775,0.7662841382318019,180.25099999999995,164.123,180.126263132,72.0,0.0,0.1339708356525112,-0.3884334472426172,0.3884334472426172,0.1339708356525112,1.4615384615384617,2.230769230769231,2.923076923076923,16.251975382449295,10.100539016996018,2.156780625915741,-2.1093543860118875,2.2582003691906363,-2.093591062904333,4.905550413793044,0.2611275049014176,1.9919659123169409,263.64339143351384,9.096011838247808,7.816332281188037,7.816332281188037,6.398178147766922,5.007698502346153,5.007698502346153,3.804427644611532,3.804427644611532,2.8727669028047567,2.8727669028047567,2.129031274942536,2.129031274942536,-0.8300000000000001,1959.3120186824635,8.754379606904395,3.918812535849494,1.9109989931006333,78.41318040749613,9.67362704263206,12.431286462512844,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,0.0,12.84164324585202,18.75954929201341,18.93844354913873,0.0,5.106527394840706,0.0,0.0,9.551078168738565,5.917906046161393,38.834924862129526,0.0,18.21809164122608,0.0,0.0,0.0,0.0,0.0,0.0,14.65760556357927,13.151638370425491,5.917906046161393,31.507690989703967,12.393687143226153,0.0,0.0,0.0,38.05,0.0,0.0,0.0,6.606881964512918,0.0,18.287066950073893,25.68328649170404,6.196843571613076,6.196843571613076,9.551078168738565,5.106527394840706,2.079351851851852,0.0,4.0896967120181404,8.997909580498867,0.0,1.6031481481481484,0.0,9.137023337112623,1.0928703703703702,0.0,0.7,13.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,0.0,1.0,2.0,1.5656,50.10780000000003,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCc1nccn1C/C(O)=N\C1CCCCC1,9.812947845804988,-0.1213208616780048,9.812947845804988,0.1213208616780048,0.6177668650390203,237.30299999999997,218.151,237.147726848,94.0,0.0,0.2011563271743349,-0.4953063392316734,0.4953063392316734,0.2011563271743349,1.411764705882353,2.176470588235294,2.8823529411764706,16.268116149354675,9.96000658912666,2.130345350181572,-2.175444264997453,2.1984806433697464,-2.169155894167613,5.7336125978442585,0.2657791665558808,1.9516492404855783,380.8573895504901,12.08757566981053,9.917866253374502,9.917866253374502,8.292024997884274,6.158416087722682,6.158416087722682,4.466646045749073,4.466646045749073,3.1611839604150127,3.1611839604150127,2.249724958106641,2.249724958106641,-1.36,11671.266861832511,12.106323039940827,5.816413911391583,3.2958450342234134,100.8326208743455,14.780154437472763,12.431286462512844,0.0,5.897745344357611,0.0,0.0,4.992404732635669,4.9839785209472085,0.0,0.0,19.26246486877803,12.84164324585202,12.393687143226153,12.586597235060536,10.213054789681411,5.897745344357611,0.0,9.551078168738565,4.992404732635669,51.29758731420351,0.0,18.21809164122608,0.0,0.0,0.0,0.0,0.0,0.0,31.70371913192555,13.151638370425491,0.0,37.92851261262997,17.386091875861823,0.0,0.0,0.0,70.64,0.0,5.106527394840706,0.0,18.54646813801849,12.3691609039125,12.84164324585202,19.26246486877803,16.960786791017508,0.0,9.976383253582878,5.106527394840706,1.709979922524565,0.0,8.309617819349963,18.849742047875164,0.0,0.680550149071975,0.2683777399848825,9.171710590278863,0.1766883975812543,0.0,0.6666666666666666,17.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,5.0,4.0,1.0,0.0,1.0,2.0,1.6646,65.08660000000003,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C/N=C(/O)Cn1ccnc1CO,9.069444444444445,-0.1349263038548753,9.069444444444445,0.016388888888889,0.4924308482609459,169.184,158.096,169.085126592,66.0,0.0,0.2005989687133213,-0.4953203673397072,0.4953203673397072,0.2005989687133213,1.75,2.5,3.083333333333333,16.267797926557016,10.532053174581048,2.017758777012403,-2.0240845495601003,1.963858989141248,-2.110058442684887,5.728453690984167,0.2658582471585921,2.743228562310496,279.9337850187939,8.974691494688164,6.804982078252138,6.804982078252138,5.774386907679233,3.530934212547753,3.530934212547753,2.2693194513911,2.2693194513911,1.5130060670769985,1.5130060670769985,0.8587235417202519,0.8587235417202519,-1.36,708.9318409771379,8.733984962406016,3.8679048167800416,1.821351701183432,70.01374145589168,14.780154437472763,12.431286462512844,0.0,5.897745344357611,0.0,0.0,4.992404732635669,4.9839785209472085,0.0,0.0,0.0,0.0,19.441359125903343,6.544756405912575,10.213054789681411,5.897745344357611,0.0,9.551078168738565,4.992404732635669,13.151638370425491,7.04767198267719,18.21809164122608,0.0,0.0,0.0,0.0,0.0,0.0,32.709550285454775,13.151638370425491,0.0,5.824404497999927,17.386091875861823,0.0,0.0,0.0,70.64,0.0,0.0,0.0,19.049383714783104,5.824404497999927,0.0,7.04767198267719,16.960786791017508,0.0,9.976383253582878,10.213054789681411,1.6273148148148149,0.0,7.449600340136055,17.857520786092216,0.0,0.5350925925925929,0.0,3.237546296296296,0.1214162887377172,1.504842214663643,0.4285714285714285,12.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,5.0,3.0,0.0,0.0,0.0,1.0,-0.0382999999999997,44.13760000000002,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCc1nccn1C/C(O)=N\CC1CC1,9.53736111111111,-0.1221180555555556,9.53736111111111,0.1061111111111112,0.55478032404778,209.249,194.129,209.11642672,82.0,0.0,0.2008873018300149,-0.4953132593387563,0.4953132593387563,0.2008873018300149,1.6,2.4,3.066666666666667,16.26796822914934,10.41833227768336,2.201368848215268,-2.037066877721653,2.2826041304398474,-2.1213678179851776,5.731300056653953,0.265839982307292,1.912071815994984,355.3044035192056,10.673362107437434,8.503652691001406,8.503652691001406,7.292024997884274,5.124693254456223,5.124693254456223,3.829776395458661,3.829776395458661,2.483815668785589,2.483815668785589,1.372912175991167,1.372912175991167,-1.36,5118.191148095614,10.167785242915585,4.439868094126041,2.791756171259474,88.10273664555227,14.780154437472763,12.431286462512844,0.0,5.897745344357611,0.0,0.0,4.992404732635669,4.9839785209472085,0.0,0.0,0.0,18.75954929201341,18.93844354913873,6.544756405912575,10.213054789681411,5.897745344357611,0.0,9.551078168738565,10.91031077879706,25.99328161627751,6.544756405912575,18.21809164122608,0.0,0.0,0.0,0.0,0.0,0.0,32.20663470869016,13.151638370425491,5.917906046161393,18.666047743851948,17.386091875861823,0.0,0.0,0.0,70.64,0.0,5.106527394840706,0.0,12.504627308870528,18.287066950073893,6.544756405912575,12.84164324585202,16.960786791017508,0.0,9.976383253582878,5.106527394840706,1.6862414965986394,0.0,8.020568310657596,18.48086312148316,0.0,1.3240938890988498,0.0,5.765507842025698,0.8893920068027208,0.0,0.6,15.0,2.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,5.0,5.0,1.0,0.0,1.0,2.0,0.7419000000000002,55.80460000000002,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCN(C)C(=O)Cn1ccnc1CO,11.505269274376417,-0.1427388038548753,11.505269274376417,0.0140740740740743,0.730156952061399,197.238,182.118,197.11642672,78.0,0.0,0.241784995705081,-0.3884332128781749,0.3884332128781749,0.241784995705081,1.7142857142857142,2.4285714285714284,3.0,16.252098321570298,10.44956290344221,2.090414517733055,-2.1477164587341537,1.9828100503051975,-2.29743602382357,5.751835767419744,-0.1298939371301503,2.640602027354557,308.76064070549506,10.55204176387779,8.47312355440259,8.47312355440259,6.685070510202192,4.534786107233091,4.534786107233091,3.0373996436397106,3.0373996436397106,2.1488269746496984,2.1488269746496984,1.0784391557697095,1.0784391557697095,-1.36,1798.620131277591,10.719113924050632,4.759152181952663,2.3210062496244217,82.97542521687589,14.57353677348254,18.97604286842542,0.0,5.907179729351506,0.0,0.0,4.794537184071822,4.9839785209472085,0.0,0.0,0.0,6.923737199690624,25.98611553181592,0.0,9.901064578912528,5.907179729351506,0.0,14.45098789958904,0.0,20.07537557011612,13.592428388589765,18.21809164122608,0.0,0.0,0.0,0.0,0.0,0.0,39.05712341237102,17.946175554497316,0.0,12.748141697690553,12.393687143226153,0.0,0.0,0.0,58.36,0.0,4.794537184071822,0.0,19.058818099777,12.3691609039125,0.0,0.0,28.908368504545177,6.923737199690624,4.9839785209472085,5.106527394840706,1.647314814814815,0.0,17.046532029478456,8.907771557697153,0.0,0.5306046863189726,0.0,3.261639266817838,2.691573207986898,1.747897770219199,0.5555555555555556,14.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,5.0,4.0,0.0,0.0,0.0,1.0,-0.1463000000000004,51.46080000000004,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC(=O)CCCn1ccnc1CO,10.798264754976064,-0.2123483560090702,10.798264754976064,0.0781505889392795,0.6922828637174885,198.222,184.11,198.100442308,78.0,0.0,0.3050710903250874,-0.4689945988021322,0.4689945988021322,0.3050710903250874,1.7142857142857142,2.5,3.142857142857143,16.52297702723735,10.288572711912918,2.0267653293459493,-2.041707578779512,2.012331696324561,-2.0606398841736917,5.6846455228918025,-0.1402773653546567,2.3412939351967736,296.0021029421123,10.38890505706126,8.141265030553043,8.141265030553043,6.774386907679233,4.453003602475564,4.453003602475564,2.874663806119195,2.874663806119195,1.95071526132583,1.95071526132583,1.191084017817396,1.191084017817396,-1.36,1971.9843184577887,10.719113924050632,5.387195531164762,2.84579675440697,82.32913677617941,14.41048999643211,12.431286462512844,0.0,0.0,0.0,5.969305287951849,4.794537184071822,4.9839785209472085,0.0,0.0,0.0,6.4208216229260096,25.359265172064735,7.109797541277533,14.637927532712576,5.969305287951849,0.0,9.551078168738565,0.0,25.993281616277518,7.109797541277533,18.21809164122608,0.0,0.0,0.0,0.0,0.0,0.0,27.73670839280865,22.683038508297365,0.0,18.666047743851948,12.393687143226153,0.0,0.0,0.0,64.35000000000001,0.0,4.794537184071822,0.0,12.576187252464766,25.21080414976452,0.0,7.109797541277533,12.393687143226153,4.567099647791355,9.720841474747257,5.106527394840706,6.335357457797934,0.0,14.747647707231042,8.887045068027211,0.0,0.4078977702191992,0.0,4.488204128873772,0.593469781431091,1.3737114197530862,0.5555555555555556,14.0,1.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,0.3286,49.39980000000003,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
